"article_id"|"article_url"|"article_authors"|"article_text"|"article_headline"|"publication_timestamp"|"article_categories"
"61519429"|"https://timesofindia.indiatimes.com/world/mad-mad-world/donkeys-named-after-ram-rahim-honeypreet-sold-at-rs-11000-in-ujjain-fair/articleshow/61519429.cms"|"[PTI]"|"UJJAIN: At the annual donkey fair held in this temple town in Madhya Pradesh, a pair of donkeys named after disgraced sect leader Baba Gurmeet Ram Rahim Singh and his close aide Honeypreet was sold for Rs 11,000. According to organisers, sellers usually give 'fancy' names to sell donkeys although their breed and physical features count a lot in cutting a deal. Some traders had named their donkeys after GST, 'Sultan', Bahubali and Jio. The pair of donkeys with names of Singh--convicted in two cases of rape, and his adopted daughter Honeypreet Insan, booked for inciting violence after his arrest--written on them was purchased by a Rajasthan-based trader yesterday, the last day of the five-day-long fair. The seller Hariom Prajapat, who had brought the pair of donkeys from Gujarat, today said he wanted to close the deal for Rs 20,000, but eventually settled at the lower price. ""I couldn't find the buyer who was ready to pay Rs 20,000 for the donkeys. Finally, I had to sell them at Rs 11,000,"" he said. When asked why he chose to name the donkeys after the jailed Dera Sachha Sauda chief and Honeypreet Insan, Prajapat said he wanted to send out a message that the duo had to pay for their acts. In the annual fair, held near the banks of Kshipra river, the beasts were brought for sell from the states like Maharashtra, Rajasthan, and Gujarat besides from Madhya Pradesh. Organisers of the event said around 2,000 donkeys were brought for sale this year. The Ujjain Municipal Corporation (UMC) provided various facilities at the event. Download The Times of India News App for Latest World News."|"Donkeys named after Ram Rahim, Honeypreet sold at Rs 11,000 in Ujjain fair"|"Sun Nov 05 18:32:00 CET 2017"|"[world]"
"61519429"|"https://timesofindia.indiatimes.com/world/mad-mad-world/donkeys-named-after-ram-rahim-honeypreet-sold-at-rs-11000-in-ujjain-fair/articleshow/61519429.cms"|"[PTI]"|"UJJAIN: At the annual donkey fair held in this temple town in Madhya Pradesh, a pair of donkeys named after disgraced sect leader Baba Gurmeet Ram Rahim Singh and his close aide Honeypreet was sold for Rs 11,000. According to organisers, sellers usually give 'fancy' names to sell donkeys although their breed and physical features count a lot in cutting a deal. Some traders had named their donkeys after GST, 'Sultan', Bahubali and Jio. The pair of donkeys with names of Singh--convicted in two cases of rape, and his adopted daughter Honeypreet Insan, booked for inciting violence after his arrest--written on them was purchased by a Rajasthan-based trader yesterday, the last day of the five-day-long fair. The seller Hariom Prajapat, who had brought the pair of donkeys from Gujarat, today said he wanted to close the deal for Rs 20,000, but eventually settled at the lower price. ""I couldn't find the buyer who was ready to pay Rs 20,000 for the donkeys. Finally, I had to sell them at Rs 11,000,"" he said. When asked why he chose to name the donkeys after the jailed Dera Sachha Sauda chief and Honeypreet Insan, Prajapat said he wanted to send out a message that the duo had to pay for their acts. In the annual fair, held near the banks of Kshipra river, the beasts were brought for sell from the states like Maharashtra, Rajasthan, and Gujarat besides from Madhya Pradesh. Organisers of the event said around 2,000 donkeys were brought for sale this year. The Ujjain Municipal Corporation (UMC) provided various facilities at the event. Download The Times of India News App for Latest World News."|"Donkeys named after Ram Rahim, Honeypreet sold at Rs 11,000 in Ujjain fair"|"Sun Nov 05 18:32:00 CET 2017"|"[world]"
"70233694"|"https://timesofindia.indiatimes.com/world/us/one-in-five-us-twitter-users-follows-donald-trump-survey/articleshow/70233694.cms"|"[AFP]"|"WASHINGTON: Nineteen per cent of US Twitter users follow President Donald Trump on the social platform, and a majority of those people approve of his job performance, a survey showed on Monday. The Pew Research Centre report suggests Trump's @realDonaldTrump account - with more than 60 million followers worldwide - has succeeded in developing an audience largely favourable to his comments, which often generate controversy. The report is based on a survey of 2,388 US adults who use Twitter and gave Pew permission to review their personal public-facing accounts, between December 2018 and July 2019. Roughly three in 10 Republican adult Twitter users follow Trump, compared with 13 per cent of Democrats, Pew said. Among users who follow Trump, 54 per cent approved of his job performance as of late 2018, compared with 24 percent of users who don't follow the President. Despite the large following, Trump's direct reach on Twitter is still limited, according to Pew: only 22 per cent of all US adults use the service, its surveys found. And Trump's reach on Twitter remains below that of former President Barack Obama, who connects with 26 per cent of the platform's users, Pew researchers found. The news comes with Trump drawing fire for a series of tweets interpreted as attacking four progressive Democratic congresswomen of colour - calling on them to ""go back"" to their own countries, even though all are US citizens. Trump's comments were branded ""racist"" and ""xenophobic"" by Democratic presidential candidates and senior lawmakers. Download The Times of India News App for Latest World News."|"One in five US Twitter users follows Donald Trump: Survey"|"Mon Jul 15 22:02:00 CEST 2019"|"[world]"
"61519429"|"https://timesofindia.indiatimes.com/world/mad-mad-world/donkeys-named-after-ram-rahim-honeypreet-sold-at-rs-11000-in-ujjain-fair/articleshow/61519429.cms"|"[PTI]"|"UJJAIN: At the annual donkey fair held in this temple town in Madhya Pradesh, a pair of donkeys named after disgraced sect leader Baba Gurmeet Ram Rahim Singh and his close aide Honeypreet was sold for Rs 11,000. According to organisers, sellers usually give 'fancy' names to sell donkeys although their breed and physical features count a lot in cutting a deal. Some traders had named their donkeys after GST, 'Sultan', Bahubali and Jio. The pair of donkeys with names of Singh--convicted in two cases of rape, and his adopted daughter Honeypreet Insan, booked for inciting violence after his arrest--written on them was purchased by a Rajasthan-based trader yesterday, the last day of the five-day-long fair. The seller Hariom Prajapat, who had brought the pair of donkeys from Gujarat, today said he wanted to close the deal for Rs 20,000, but eventually settled at the lower price. ""I couldn't find the buyer who was ready to pay Rs 20,000 for the donkeys. Finally, I had to sell them at Rs 11,000,"" he said. When asked why he chose to name the donkeys after the jailed Dera Sachha Sauda chief and Honeypreet Insan, Prajapat said he wanted to send out a message that the duo had to pay for their acts. In the annual fair, held near the banks of Kshipra river, the beasts were brought for sell from the states like Maharashtra, Rajasthan, and Gujarat besides from Madhya Pradesh. Organisers of the event said around 2,000 donkeys were brought for sale this year. The Ujjain Municipal Corporation (UMC) provided various facilities at the event. Download The Times of India News App for Latest World News."|"Donkeys named after Ram Rahim, Honeypreet sold at Rs 11,000 in Ujjain fair"|"Sun Nov 05 18:32:00 CET 2017"|"[world]"
"70233694"|"https://timesofindia.indiatimes.com/world/us/one-in-five-us-twitter-users-follows-donald-trump-survey/articleshow/70233694.cms"|"[AFP]"|"WASHINGTON: Nineteen per cent of US Twitter users follow President Donald Trump on the social platform, and a majority of those people approve of his job performance, a survey showed on Monday. The Pew Research Centre report suggests Trump's @realDonaldTrump account - with more than 60 million followers worldwide - has succeeded in developing an audience largely favourable to his comments, which often generate controversy. The report is based on a survey of 2,388 US adults who use Twitter and gave Pew permission to review their personal public-facing accounts, between December 2018 and July 2019. Roughly three in 10 Republican adult Twitter users follow Trump, compared with 13 per cent of Democrats, Pew said. Among users who follow Trump, 54 per cent approved of his job performance as of late 2018, compared with 24 percent of users who don't follow the President. Despite the large following, Trump's direct reach on Twitter is still limited, according to Pew: only 22 per cent of all US adults use the service, its surveys found. And Trump's reach on Twitter remains below that of former President Barack Obama, who connects with 26 per cent of the platform's users, Pew researchers found. The news comes with Trump drawing fire for a series of tweets interpreted as attacking four progressive Democratic congresswomen of colour - calling on them to ""go back"" to their own countries, even though all are US citizens. Trump's comments were branded ""racist"" and ""xenophobic"" by Democratic presidential candidates and senior lawmakers. Download The Times of India News App for Latest World News."|"One in five US Twitter users follows Donald Trump: Survey"|"Mon Jul 15 22:02:00 CEST 2019"|"[world]"
"70226088"|"https://timesofindia.indiatimes.com/world/rest-of-world/populist-pro-china-mayor-to-face-tsai-in-taiwan-presidential-clash/articleshow/70226088.cms"|"[AFP]"|"TAIPEI: A populist mayor who favours closer ties with Beijing was named Monday as presidential candidate for Taiwan's main opposition party as it looks to unseat President Tsai Ing-wen in upcoming elections. Han Kuo-yu won the primary for the Kuomintang (KMT), comfortably seeing off a challenge from Taiwan's richest man, billionaire Foxconn founder Terry Gou. His victory sets up an unpredictable clash as Taiwan goes to the polls in January in a contest that will be dominated by relations with China. Han, 62, has enjoyed a stunning rise in the last two years, journeying from relative obscurity to become his party's presidential candidate in a phenomenon that has been dubbed the ""Han tide"". Some have likened him to US President Donald Trump and other populist leaders who hail from outside establishment circles and command a fervent voter base buoyed by lofty promises of resurrecting their fortunes. Han won 45 percent of votes cast in the KMT's primary -- which polls members of the public by telephone -- compared with Gou's 28 percent, a setback for a man who made his fortune assembling iPhones and other key electronic devices in Chinese mainland factories. Han was a relative unknown until he seized the Kaohsiung mayoralty in local elections last year in a shock win in the southern city that has long been a heartland for Tsai's ruling Democratic Progressive Party. He has been able to muster huge, enthusiastic crowds during campaigning, where he has vowed to restore warm ties with Beijing and kickstart the economy. ""Taiwanese people have been living difficult lives in the past three years,"" he told reporters after the result was announced. Gou, who had previously hinted he might run as an independent if he lost, issued a statement congratulating his opponent. Relations with Beijing have soured since Tsai came to power in 2016 because her party refuses to recognise the idea that Taiwan is part of ""one China"". Since her election Beijing has cut official communications, ramped up military exercises, poached diplomatic allies and ratcheted up economic pressure on the island. Taiwan has been a de facto sovereign nation since the end of a civil war in 1949 but China still views it as its territory and has vowed to seize it, by force if necessary. Tsai has described the 2020 presidential election as a ""fight for freedom and democracy"", setting herself up as someone who can defend Taiwan from an increasingly assertive Beijing. Under her administration, relations have warmed with Washington which recognises Beijing over Taipei but remains the island's primary diplomatic and military ally. Supporters see Han as a plain-talking maverick but detractors are unnerved by his efforts promoting warmer China ties. He has shown a knack for using the criticism to his advantage. When a spokesman for Tsai dismissed Han as something of a country bumpkin by calling him an ""earthen steamed bun"" he responded by presiding over a steamed bun cooking competition. He has also embraced nicknames like ""bald guy"" and ""vegetable man"", the latter a reference to a previous job as general manager of the Taipei Agricultural Products Marketing Corporation. ""He's a charismatic campaigner and he drummed up lots of enthusiasm for his mayoral bid,"" Shelley Rigger, an expert on Taiwan at Davidson College in North Carolina, told AFP. ""He's struggled a bit with substance, especially on cross-Strait relations, where his position has bounced around,"" she added, referring to ties with Beijing. While a large number of older people favour warmer relationship with the mainland, many younger Taiwanese are now adopting an increasingly wary view towards China and a staunchly independent identity. A bellicose New Year speech by Chinese president Xi Jinping and the recent political chaos in Hong Kong has further inflamed fears in Taiwan over what the future holds if Beijing has its way, with Tsai seeing her previously moribund poll ratings rise. Download The Times of India News App for Latest World News."|"Populist pro-China mayor to face Tsai in Taiwan presidential clash"|"Mon Jul 15 14:11:00 CEST 2019"|"[world]"
"70225640"|"https://timesofindia.indiatimes.com/world/rest-of-world/afghan-radio-station-shuts-down-after-threats-by-suspected-taliban/articleshow/70225640.cms"|"[Reuters]"|"KABUL: A private radio station in Afghanistan has shut down after numerous threats from a suspected Taliban commander who objected to women working as presenters, officials at the radio station said on Monday. The incident comes as the Taliban are discussing a peace deal with the United States that could see them re-joining mainstream society, and that has brought new scrutiny of their attitudes to issues like women's rights and the media. The private radio station, Samaa, has been broadcasting political, religious, social and entertainment programmes in the central province of Ghazni since 2013. Its 13 employees, including three women presenters, broadcast in Afghanistan's two main languages - Dari and Pashto. The radio station's director, Ramez Azimi, said Taliban commanders in the area had sent written warnings and telephoned in, to tell the radio station to stop employing women. ""The Taliban also came to my house and issued a threat,"" Azimi said. He said the threats had forced him to suspend broadcasts. Taliban spokesman Zabihullah Mujahid denied that a Taliban commander had issued the threats. ""We are trying to find details,"" said Mujahid. The Taliban say many people falsely identify themselves as Taliban, often in the course of private disputes. Several districts of Ghazni are under Taliban control. The militants hold sway over about half of Afghanistan and they have been intensifying their attacks despite efforts towards a peace agreement to end the 18-year war. The Taliban ruled most of Afghanistan from 1996 until 2001. Under their hardline interpretation of Islamic law, women were banned women from working or going to school. But the Taliban have recently been projecting themselves as a more moderate force. In a recent statement they said Islam gave women rights in areas including business and ownership, inheritance, education, work, choosing a husband, security and well-being. But they denounced ""so-called women's rights activists"" who encouraged women to defy Afghan customs. The Taliban have staged numerous deadly attacks against the media and Afghanistan is one of the world's most dangerous countries for journalists. The Taliban say they only target media that is biased against them. Download The Times of India News App for Latest World News."|"Afghan radio station shuts down after threats by suspected Taliban"|"Mon Jul 15 15:39:00 CEST 2019"|"[world]"
"70224330"|"https://timesofindia.indiatimes.com/world/rest-of-world/2-dead-dozens-of-homes-damaged-in-indonesian-earthquake/articleshow/70224330.cms"|"[AP]"|"JAKARTA, INDONESIA: A disaster official says a strong earthquake in eastern Indonesia killed two people and damaged at least dozens of homes. The magnitude 7.3 quake on Sunday was centered 166 kilometers (103 miles) southeast of Ternate, the capital of North Maluku province, at a depth of just 10 kilometers (6 miles). Shallow quakes can cause more damage. National disaster agency spokesman Agus Wibowo said Monday that two women were killed by collapsing houses and more than 2,000 people have fled to temporary shelters. The quake was followed by at least 65 smaller aftershocks. The agency is still assessing the level of destruction but said two bridges and about 58 homes in one village alone were damaged. Download The Times of India News App for Latest World News."|"2 dead, dozens of homes damaged in Indonesian earthquake"|"Mon Jul 15 12:29:00 CEST 2019"|"[world]"
"70230523"|"https://timesofindia.indiatimes.com/world/rest-of-world/thai-prime-minister-declares-end-of-military-rule/articleshow/70230523.cms"|"[Reuters]"|"BANGKOK: Thai Prime Minister Prayuth Chan-ocha formally resigned as the head of the military government on Monday, saying the country would function as a normal democracy after five years of military rule. Prayuth stays on as prime minister with the backing of pro-military parties in parliament and a military-appointed upper house under a constitution that critics say stifles democracy and enshrines a political role for the military. Prayuth, in a televised address to the nation, said military rule had brought success in many areas, from fixing the problem of illegal fishing and human trafficking, to the rescue of 12 boys and their soccer coach trapped in a flooded cave last year. The former army chief who seized power in a 2014 coup, said the intervention then had been necessary to restore order after six months of street protests and violent clashes, but things were getting back to normal after a March 24 election. “Thailand is now fully a democratic country with a constitutional monarchy, with a parliament whose members are elected,” Prayuth said. “All problems will be addressed normally based on a democratic system with no use of special powers,” he said, referring to sweeping powers the military government wielded. Last week, Prayuth used those powers for one last time to end various restrictions on media. He also transferred civilian legal cases from military to civilian court though he retained the power to let security forces carry out searches and make arrests unchallenged. King Maha Vajiralongkorn last week endorsed Prayuth’s new civilian cabinet, drawn from a 19-party coalition government that holds a slim majority in parliament. Thailand has seen intermittent bouts of political turmoil and violence - as well as two military coups - over the past 15 years as new political forces drawing support from the countryside have challenged the Bangkok-based military-royalist establishment. People are generally cautious about what the new set-up might bring. “We have to see their work first,” Noppawan Hiranpruk, 47, a market vendor told Reuters. “It’s OK to have old faces provided they have new ideas to make new things happen,” she said. The new government will officially take power after a swearing in ceremony on Tuesday. It is due to present its policies to parliament next week. Download The Times of India News App for Latest World News."|"Thai prime minister declares end of military rule"|"Mon Jul 15 18:39:00 CEST 2019"|"[world]"
"70230793"|"https://timesofindia.indiatimes.com/world/rest-of-world/ex-south-africa-president-jacob-zuma-tells-graft-probe-hes-a-victim-of-conspiracy/articleshow/70230793.cms"|"[AFP]"|"JOHANNESBURG: South Africa's former president Jacob Zuma on Monday dismissed multiple graft allegations against him, telling a judicial inquiry he was the victim of conspiracies, years of ""character assassination"" and plots to kill him. In an often rambling monologue, Zuma accused unnamed foreign intelligence agencies and spies of working against him and added: ""I have survived attempts to kill me."" Zuma testified at the inquiry in Johannesburg into the so-called ""state capture"" scandal after previous witnesses gave damning evidence against him. He is accused of overseeing mass looting of state assets during his nine-year tenure before being ousted by the ruling ANC party in 2018 and replaced by his deputy, Cyril Ramaphosa. ""I have been vilified, alleged to be the king of corrupt people,"" he said. ""I have been given every other name."" Zuma, who will face questioning by lawyers during an appearance that could last all week, said he had been the victim of ""character assassination over 20 years."" ""This commission, according to those who are implementing things, must be the grave of Zuma, he must be buried here,"" Zuma said. ""There has been a drive to remove me from the scene, (they) wish that I would disappear... there is this conspiracy against me."" Zuma, 77, was not legally required to attend the inquiry, but it invited him to appear after other witnesses testified against him. Led by judge Raymond Zondo, the probe is investigating a web of deals involving government officials, the wealthy Gupta family and state-owned companies. ""I never did any... breaking the law with this family -- never,"" he said. ""This commission from my understanding was really created to have me coming here and perhaps to find things on me,"" he alleged. Dismissing the term ""state capture"", he said it was impossible for one family to corrupt the government, parliament and the judiciary. ""It's an exaggeration, it is meant to enhance this narrative against Zuma,"" he said. ""There have been people sent from outside the country to come and kill me, but I have been patient not saying a thing — but I have been provoked to the last degree."" Sitting in central Johannesburg, the inquiry has heard from scores of witnesses over 130 days in session since last year. ""The commission is not mandated to prove any case against anybody but is mandated to investigate and inquire into certain allegations,"" judge Zondo said, thanking Zuma for appearing. Zondo asked Zuma's supporters in the venue not to applause his answers. According to Angelo Agrizzi, one of the inquiry's previous witnesses, Zuma allegedly accepted a monthly $2,200 bribe (1,951-euro) delivered in luxury bags from a contracting firm that was trying to evade police investigation. The money was in theory for his charity foundation. Agrizzi said his company also organised free parties, bulk alcohol supplies and birthday cakes to keep favour with Zuma's associates. Former finance minister Nhlanhla Nene, who was sacked by Zuma in 2015, testified that Zuma pushed policies on nuclear power and aviation designed to benefit the Gupta family. The Gupta brothers are accused of fraudulently profiting from government contracts including energy and transport deals under Zuma. The family owned a uranium mine, which would have seen profits soar from the nuclear deal, as well as a portfolio of mining, technology and media companies. They allegedly held such sway over Zuma that they were able to select some of his cabinet ministers. Former deputy finance minister Mcebisi Jonas told the inquiry that the Guptas offered him the finance minister's job and even threatened to kill him after he refused to accept a $40 million bribe. Zuma has separately been charged with 16 counts of graft linked to an arms deal from before he became president. The Indian-born Gupta brothers — Ajay, Atul and Rajesh -- have left South Africa and are now based in Dubai. They also deny any wrong-doing. Eager to distance himself from the Zuma era, Ramaphosa has declared his presidency as a ""new dawn"" for the country and described the inquiry as a ""very painful process"". Download The Times of India News App for Latest World News."|"Ex-South Africa president Jacob Zuma tells graft probe he's a victim of conspiracy"|"Mon Jul 15 18:44:00 CEST 2019"|"[world]"
"70222577"|"https://timesofindia.indiatimes.com/world/china/as-china-locks-up-muslims-in-xinjiang-it-opens-its-doors-to-tourists/articleshow/70222577.cms"|"[AFP]"|"KASHGAR: From the expansive dunes of the Taklamakan Desert to the snow-capped peaks of Tianshan, Chinese authorities are selling troubled Xinjiang as a tourist idyll, welcoming travellers even as they send locals to internment camps. The government has rounded up an estimated one million Uighurs and other mostly Muslim Turkic-speaking minorities into re-education camps in the tightly-controlled region in China's northwest, but it has also created a parallel universe for visitors, who are only shown a carefully curated version of traditional customs and culture. In the Old Town of Kashgar, an ancient Silk Road city, smiling food vendors serve mouthwatering lamb skewers, while children play in the streets. ""It didn't look to me like -- unless you were picked up and put in a camp -- that these Uighur communities seemed to be living in some kind of fear,"" said William Lee, who has taught at universities in China for 10 years and visited the region in June. ""That's just my impression,"" he added. Xinjiang, a fraught region where flare-ups of interethnic violence have led to unprecedented levels of surveillance, is one of the fastest growing areas for tourism in China. Armed police and frequent checkpoints have not dampened the flow of vacationers visiting the region, which in 2018 saw a 40 percent increase year-on-year of visits -- mainly from domestic tourists -- outstripping the national average by 25 percent, according to official figures. Business has grown steadily over the years mainly because ""Xinjiang is very stable"", explained Wu Yali, who runs a travel agency in the region. Though tourists are not used to the high-level of security at first, ""they adapt after a few days,"" she told AFP. But travellers are barred from witnessing the most controversial part of Xinjiang's security apparatus: the network of internment camps spread across the vast region. Many of these facilities are outside main tourist hubs and are fenced off with razor-wired walls. On a six-day trip to the region last month, AFP reporters encountered roadblocks and were turned away by security forces upon nearing some camps. China describes the facilities as ""vocational education centres"" where Turkic-speaking ""trainees"" learn Mandarin and job skills. ""The violence that is being inflicted on the bodies of Uighur and other Muslim people...has been rendered invisible,"" said Rachel Harris, who studies Uighur culture and music at the School of Oriental and African Studies University of London. ""For a tourist who goes and travels around a designated route, it all looks nice,"" she told AFP. ""It's all very quiet and that's because there's a regime of terror being imposed on the local people."" According to Communist Party mouthpiece People's Daily, the regional government offered travellers subsidies worth 500 yuan ($73) each in 2014, after tourism plunged following a deadly knife attack blamed on Xinjiang separatists in southwestern China. By 2020, Xinjiang is aiming to hit a total of 300 million visits by tourists and rake in 600 billion yuan ($ 87 billion), according to the region's tourism bureau. Tourism packages to Xinjiang often feature the region's rich array of natural beauty, from the azure waters of Karakul lake to Tianshan -- a UNESCO World Heritage Site. Many also offer ""ethnic"" experiences, often in the form of dance performances. Some tour operators even include visits to Uighur homes. Even as Chinese authorities seek to contain the region's Muslim minorities, they are monetising ethnic culture -- albeit a simplified version of it, experts say. ""Uighur culture is being boiled down to just song and dance,"" said Josh Summers, an American who lived in Xinjiang for more than a decade and wrote travel guides for the region. ""What makes me sad is what ends up happening is there are only very specific parts of Uighur culture that get maintained because of the tourism,"" he said, citing the neglect of Uighur paper-making traditions and desert shrines. Beijing's security clampdown has also squeezed Yengisar city's artisanal knife trade, said Summers. ""Ever since the management of Xinjiang became stricter, the impact on Yengisar's small knives has been very large -- now there are very few shops selling small knives,"" agreed Li Qingwen, who runs a tourism business in Xinjiang. The government wants Uighurs to ""show how they excel in singing and dancing, instead of living under religious rules and restrictions,"" he told AFP. But while ethnic song and dance is showcased to tourists, Uighurs are often restricted in how they express their own culture. Large, spontaneous gatherings of Uighurs -- even if they involve dancing -- are less frequent because of tightened security, said Summers. Night markets too are more controlled. In Hotan, what used to be an outdoor night market is now inside a white tent, where red lanterns hang from the ceiling and uniform food stalls adorned with Chinese flags sell lamb skewers, but also sushi and seafood. Over the past few years, cultural leaders in the Uighur community have disappeared, raising fears they have been detained. In February, Turkey's foreign ministry claimed that prominent Uighur musician and poet Abdurehim Heyit had died in a Chinese prison -- prompting China to release a ""proof-of-life"" video of an inmate who identified himself as Heyit. Famous Uighur comedian Adil Mijit is also missing, according to social media posts by his son-in-law Arslan Hidayat. And though tourists are buffered from the ugliest parts of Xinjiang's security crackdown, it is not difficult to bump against the region's many red lines. Download The Times of India News App for Latest World News."|"As China locks up Muslims in Xinjiang, it opens its doors to tourists"|"Mon Jul 15 10:17:00 CEST 2019"|"[world]"
